batch_status,canonical_domain,family,jurisdiction,meta_description,meta_title,needs_cross_site_handoff,needs_official_source_block,path,primary_source_id,priority,slug,source_category,summary,title
batch_1_seed,https://buildingregsguide.co.uk,homepage,England-first,"Start here to check whether your home project is likely to need building regulations approval, which route to use, and what proof to keep.",Building regulations checker for UK home projects,False,True,/,govuk_building_regs_approval,high,home,approval_needed,"Start here to check whether your home project is likely to need building regulations approval, which route to use, and what proof to keep.",Building regulations checker for UK home projects
batch_1_seed,https://buildingregsguide.co.uk,hub,England-first,"Plain-English guide to building regulations approval, building control, certificates, inspections and planning handoffs.",Building regulations for home projects,False,True,/building-regulations/,govuk_building_regs_approval,high,building-regulations,approval_needed,"Plain-English guide to building regulations approval, building control, certificates, inspections and planning handoffs.",Building regulations for home projects
batch_1_seed,https://buildingregsguide.co.uk,guide,England-first,Answer-first guide for common home works and when building control or a competent person route may be needed.,Do I need building regulations approval?,True,True,/building-regulations/do-i-need-building-regulations-approval/,govuk_building_regs_approval,high,do-i-need-building-regulations-approval,approval_needed,Answer-first guide for common home works and when building control or a competent person route may be needed.,Do I need building regulations approval?
batch_1_seed,https://buildingregsguide.co.uk,guide,England-first,Explains the two separate tracks and when a project can need both.,Planning permission vs building regulations,True,True,/building-regulations/planning-permission-vs-building-regulations/,govuk_building_regs_approval,high,planning-permission-vs-building-regulations,approval_needed,Explains the two separate tracks and when a project can need both.,Planning permission vs building regulations
batch_1_seed,https://buildingregsguide.co.uk,guide,England-first,"Explains local authority building control, registered building control approvers and when BSR applies.",What is a building control body?,True,True,/building-regulations/building-control-body/,govuk_how_to_apply,high,building-control-body,application_route,"Explains local authority building control, registered building control approvers and when BSR applies.",What is a building control body?
batch_1_seed,https://buildingregsguide.co.uk,guide,England-first,Compares the two common building-control routes for domestic non-HRB projects.,Local authority building control vs registered approver,True,True,/building-regulations/local-authority-building-control-vs-registered-approver/,govuk_how_to_apply,medium,local-authority-building-control-vs-registered-approver,application_route,Compares the two common building-control routes for domestic non-HRB projects.,Local authority building control vs registered approver
batch_1_seed,https://buildingregsguide.co.uk,approval_route,England-first,When full plans can give more certainty before work starts and what documents are usually needed.,Full plans building regulations application,True,True,/building-regulations/full-plans-application/,govuk_how_to_apply,high,full-plans-application,application_route,When full plans can give more certainty before work starts and what documents are usually needed.,Full plans building regulations application
batch_1_seed,https://buildingregsguide.co.uk,approval_route,England-first,When a building notice may suit smaller domestic works and what risk remains.,Building notice for building regulations,True,True,/building-regulations/building-notice/,planning_portal_building_notice,high,building-notice,building_notice,When a building notice may suit smaller domestic works and what risk remains.,Building notice for building regulations
batch_1_seed,https://buildingregsguide.co.uk,approval_route,England-first,"Practical comparison for extensions, lofts, garages and structural alterations.",Full plans vs building notice,True,True,/building-regulations/full-plans-vs-building-notice/,planning_portal_building_notice,high,full-plans-vs-building-notice,building_notice,"Practical comparison for extensions, lofts, garages and structural alterations.",Full plans vs building notice
batch_1_seed,https://buildingregsguide.co.uk,approval_route,England-first,What to do if building work was already done without approval or records are missing.,Regularisation certificate for unauthorised building work,True,True,/building-regulations/regularisation-certificate/,govuk_how_to_apply,high,regularisation-certificate,application_route,What to do if building work was already done without approval or records are missing.,Regularisation certificate for unauthorised building work
batch_1_seed,https://buildingregsguide.co.uk,approval_route,England-first,When a registered installer can self-certify covered work and what certificate to keep.,Competent person schemes,True,True,/building-regulations/competent-person-schemes/,govuk_use_competent_person,high,competent-person-schemes,competent_person_scheme,When a registered installer can self-certify covered work and what certificate to keep.,Competent person schemes
batch_1_seed,https://buildingregsguide.co.uk,approval_route,England-first,What a completion certificate proves and why it matters when selling or remortgaging.,Building regulations completion certificate,True,True,/building-regulations/completion-certificate/,govuk_how_to_apply,high,completion-certificate,application_route,What a completion certificate proves and why it matters when selling or remortgaging.,Building regulations completion certificate
batch_1_seed,https://buildingregsguide.co.uk,approval_route,England-first,Typical inspection stages and what evidence to keep during work.,Building control inspections,True,True,/building-regulations/building-control-inspections/,govuk_how_to_apply,high,building-control-inspections,application_route,Typical inspection stages and what evidence to keep during work.,Building control inspections
batch_1_seed,https://buildingregsguide.co.uk,approval_route,England-first,What drawings/specifications may be needed before building control can assess work.,Building regulations drawings and specifications,True,True,/building-regulations/drawings-and-specifications/,govuk_how_to_apply,medium,drawings-and-specifications,application_route,What drawings/specifications may be needed before building control can assess work.,Building regulations drawings and specifications
batch_1_seed,https://buildingregsguide.co.uk,approval_route,England-first,"When structural calculations may be needed for beams, openings, loft floors and extensions.",Structural calculations and building regulations,True,True,/building-regulations/structural-calculations/,govuk_approved_documents_collection,high,structural-calculations,approved_documents,"When structural calculations may be needed for beams, openings, loft floors and extensions.",Structural calculations and building regulations
batch_1_seed,https://buildingregsguide.co.uk,guardrail,England-first,"Scope warning for flats, high-rise and BSR-controlled work. Not a DIY domestic shortcut page.",Higher-risk buildings and building control approval,False,True,/building-regulations/higher-risk-buildings/,govuk_bsr_higher_risk_buildings,medium,higher-risk-buildings,higher_risk_buildings,"Scope warning for flats, high-rise and BSR-controlled work. Not a DIY domestic shortcut page.",Higher-risk buildings and building control approval
batch_1_seed,https://buildingregsguide.co.uk,jurisdiction,Wales,Devolved Wales source hub and warning not to rely on England-only Approved Document pages.,Building regulations in Wales,False,True,/building-regulations/wales/,govwales_approved_documents,medium,wales-building-regulations,approved_documents_wales,Devolved Wales source hub and warning not to rely on England-only Approved Document pages.,Building regulations in Wales
batch_1_seed,https://buildingregsguide.co.uk,jurisdiction,Scotland,Scotland source hub for building warrants and technical handbooks.,Building standards in Scotland,False,True,/building-regulations/scotland/,govscot_domestic_technical_handbook_2026,medium,scotland-building-standards,scotland_building_standards,Scotland source hub for building warrants and technical handbooks.,Building standards in Scotland
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Extension guide covering structure, insulation, drainage, fire safety, ventilation and completion evidence.",Building regulations for extensions,True,True,/projects/extensions-building-regulations/,govuk_building_regs_approval,high,extensions,approved_documents,"Extension guide covering structure, insulation, drainage, fire safety, ventilation and completion evidence.",Building regulations for extensions
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,Checklist-led guide for single-storey domestic extensions.,Single-storey extension building regulations,True,True,/projects/single-storey-extension-building-regulations/,govuk_building_regs_approval,medium,single-storey-extensions,approved_documents,Checklist-led guide for single-storey domestic extensions.,Single-storey extension building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Higher-risk domestic extension checks around structure, fire, drainage and energy.",Two-storey extension building regulations,True,True,/projects/two-storey-extension-building-regulations/,govuk_building_regs_approval,medium,two-storey-extensions,approved_documents,"Higher-risk domestic extension checks around structure, fire, drainage and energy.",Two-storey extension building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Fire escape, stairs, structure, insulation and ventilation requirements to discuss with building control.",Loft conversion building regulations,True,True,/projects/loft-conversion-building-regulations/,govuk_building_regs_approval,high,loft-conversions,approved_documents,"Fire escape, stairs, structure, insulation and ventilation requirements to discuss with building control.",Loft conversion building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Conversion checks for structure, damp, insulation, ventilation, fire safety and sound.",Garage conversion building regulations,True,True,/projects/garage-conversion-building-regulations/,govuk_building_regs_approval,high,garage-conversions,approved_documents,"Conversion checks for structure, damp, insulation, ventilation, fire safety and sound.",Garage conversion building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"When garden buildings, offices and workshops move from exempt/simple to building-control relevant.",Outbuilding building regulations,True,True,/projects/outbuilding-building-regulations/,govuk_building_regs_approval,high,outbuildings,approval_needed,"When garden buildings, offices and workshops move from exempt/simple to building-control relevant.",Outbuilding building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Garden office and habitable-use risk checks including electrics, drainage, sleeping use and size.",Garden room building regulations,True,True,/projects/garden-room-building-regulations/,govuk_building_regs_approval,high,garden-rooms,approval_needed,"Garden office and habitable-use risk checks including electrics, drainage, sleeping use and size.",Garden room building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Porch exemption and risk checks around glazing, doors, access, electrics and heating.",Porch building regulations,True,True,/projects/porch-building-regulations/,govuk_building_regs_approval,medium,porches,approval_needed,"Porch exemption and risk checks around glazing, doors, access, electrics and heating.",Porch building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Guide for removing walls, forming openings, beams and load paths.",Structural alteration building regulations,True,True,/projects/structural-alteration-building-regulations/,govuk_approved_documents_collection,high,structural-alterations,approved_documents,"Guide for removing walls, forming openings, beams and load paths.",Structural alteration building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Beam, padstone, calculations, inspection and completion evidence guide.",Removing a load-bearing wall building regulations,True,True,/projects/removing-load-bearing-wall-building-regulations/,govuk_approved_documents_collection,high,removing-load-bearing-wall,approved_documents,"Beam, padstone, calculations, inspection and completion evidence guide.",Removing a load-bearing wall building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Structural support, party wall and building control considerations.",Chimney breast removal building regulations,True,True,/projects/chimney-breast-removal-building-regulations/,govuk_approved_documents_collection,medium,chimney-breast-removal,approved_documents,"Structural support, party wall and building control considerations.",Chimney breast removal building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Roof structure, insulation, rooflights, fire and ventilation checks.",Roof alteration building regulations,True,True,/projects/roof-alteration-building-regulations/,govuk_approved_documents_collection,medium,roof-alterations,approved_documents,"Roof structure, insulation, rooflights, fire and ventilation checks.",Roof alteration building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Structure, glazing, energy and escape considerations for rooflights.",Rooflight building regulations,True,True,/projects/rooflight-building-regulations/,govuk_approved_documents_collection,medium,rooflights,approved_documents,"Structure, glazing, energy and escape considerations for rooflights.",Rooflight building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Glazing, safety, thermal performance, ventilation and certificate evidence.",Windows and doors building regulations,True,True,/projects/windows-doors-building-regulations/,govuk_use_competent_person,high,windows-and-doors,competent_person_scheme,"Glazing, safety, thermal performance, ventilation and certificate evidence.",Windows and doors building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,Notifiable electrical work and evidence routes for dwellings.,Electrical work building regulations,True,True,/projects/electrical-work-building-regulations/,govuk_use_competent_person,high,electrical-work,competent_person_scheme,Notifiable electrical work and evidence routes for dwellings.,Electrical work building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Heating work, combustion appliances, competent person route and certificate evidence.",Boiler and heating building regulations,True,True,/projects/boiler-heating-building-regulations/,govuk_use_competent_person,high,boilers-heating,competent_person_scheme,"Heating work, combustion appliances, competent person route and certificate evidence.",Boiler and heating building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Building regulations evidence, heating, electrics and planning-side handoff for heat pumps.",Heat pump building regulations,True,True,/projects/heat-pump-building-regulations/,govuk_use_competent_person,medium,heat-pumps,competent_person_scheme,"Building regulations evidence, heating, electrics and planning-side handoff for heat pumps.",Heat pump building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Electrical, structure, roof loading and evidence questions for solar panel installations.",Solar panel building regulations,True,True,/projects/solar-panel-building-regulations/,govuk_use_competent_person,medium,solar-panels,competent_person_scheme,"Electrical, structure, roof loading and evidence questions for solar panel installations.",Solar panel building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Drainage runs, new bathrooms, kitchens, extensions and soakaway/connection questions.",Drainage and waste building regulations,True,True,/projects/drainage-waste-building-regulations/,govuk_approved_documents_collection,high,drainage-and-waste,approved_documents,"Drainage runs, new bathrooms, kitchens, extensions and soakaway/connection questions.",Drainage and waste building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Drainage, ventilation, electrics, structural and completion evidence checks.",Bathroom building regulations,True,True,/projects/bathroom-building-regulations/,govuk_approved_documents_collection,medium,bathrooms,approved_documents,"Drainage, ventilation, electrics, structural and completion evidence checks.",Bathroom building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Ventilation, electrics, drainage, structural changes and certificates for kitchen projects.",Kitchen building regulations,True,True,/projects/kitchen-building-regulations/,govuk_approved_documents_collection,medium,kitchens,approved_documents,"Ventilation, electrics, drainage, structural changes and certificates for kitchen projects.",Kitchen building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Thermal work, ventilation risk and when a wider project changes the route.",Insulation building regulations,True,True,/projects/insulation-building-regulations/,govuk_approved_document_l_2026,medium,insulation,approved_documents,"Thermal work, ventilation risk and when a wider project changes the route.",Insulation building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,Drainage and water management checks for hard surfaces and cross-over planning handoffs.,Driveway drainage building regulations,True,True,/projects/driveway-drainage-building-regulations/,govuk_approved_documents_collection,medium,driveways-drainage,approved_documents,Drainage and water management checks for hard surfaces and cross-over planning handoffs.,Driveway drainage building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Structure, moisture, ventilation, fire and drainage checks for basement conversions.",Basement conversion building regulations,True,True,/projects/basement-conversion-building-regulations/,govuk_approved_documents_collection,medium,basements,approved_documents,"Structure, moisture, ventilation, fire and drainage checks for basement conversions.",Basement conversion building regulations
batch_1_seed,https://buildingregsguide.co.uk,project,England-first,"Structural, party wall and inspection evidence checks for underpinning work.",Underpinning building regulations,True,True,/projects/underpinning-building-regulations/,govuk_approved_documents_collection,medium,underpinning,approved_documents,"Structural, party wall and inspection evidence checks for underpinning work.",Underpinning building regulations
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document A: Structure and which project pages should link to it.,Approved Document A: Structure,False,True,/approved-documents/approved-document-a-structure/,govuk_approved_documents_collection,high,approved-document-a-structure,approved_documents,Homeowner-focused explanation of Approved Document A: Structure and which project pages should link to it.,Approved Document A: Structure
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document B: Fire safety and which project pages should link to it.,Approved Document B: Fire safety,False,True,/approved-documents/approved-document-b-fire-safety/,govuk_approved_documents_collection,high,approved-document-b-fire-safety,approved_documents,Homeowner-focused explanation of Approved Document B: Fire safety and which project pages should link to it.,Approved Document B: Fire safety
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document C: Site preparation and resistance to contaminants and moisture and which project pages should link to i,Approved Document C: Site preparation and resistance to co,False,True,/approved-documents/approved-document-c-site-preparation-moisture/,govuk_approved_documents_collection,medium,approved-document-c-site-preparation-moisture,approved_documents,Homeowner-focused explanation of Approved Document C: Site preparation and resistance to contaminants and moisture and which project pages should link to it.,Approved Document C: Site preparation and resistance to contaminants and moisture
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document E: Resistance to sound and which project pages should link to it.,Approved Document E: Resistance to sound,False,True,/approved-documents/approved-document-e-sound/,govuk_approved_documents_collection,medium,approved-document-e-sound,approved_documents,Homeowner-focused explanation of Approved Document E: Resistance to sound and which project pages should link to it.,Approved Document E: Resistance to sound
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document F: Ventilation and which project pages should link to it.,Approved Document F: Ventilation,False,True,/approved-documents/approved-document-f-ventilation/,govuk_approved_document_f_2026,high,approved-document-f-ventilation,approved_documents,Homeowner-focused explanation of Approved Document F: Ventilation and which project pages should link to it.,Approved Document F: Ventilation
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,"Homeowner-focused explanation of Approved Document G: Sanitation, hot water safety and water efficiency and which project pages should link to it.","Approved Document G: Sanitation, hot water safety and wate",False,True,/approved-documents/approved-document-g-sanitation-hot-water-water-efficiency/,govuk_approved_documents_collection,medium,approved-document-g-sanitation-hot-water-water-efficiency,approved_documents,"Homeowner-focused explanation of Approved Document G: Sanitation, hot water safety and water efficiency and which project pages should link to it.","Approved Document G: Sanitation, hot water safety and water efficiency"
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document H: Drainage and waste disposal and which project pages should link to it.,Approved Document H: Drainage and waste disposal,False,True,/approved-documents/approved-document-h-drainage-waste/,govuk_approved_documents_collection,high,approved-document-h-drainage-waste,approved_documents,Homeowner-focused explanation of Approved Document H: Drainage and waste disposal and which project pages should link to it.,Approved Document H: Drainage and waste disposal
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document J: Combustion appliances and fuel storage systems and which project pages should link to it.,Approved Document J: Combustion appliances and fuel storag,False,True,/approved-documents/approved-document-j-combustion-appliances/,govuk_approved_documents_collection,medium,approved-document-j-combustion-appliances,approved_documents,Homeowner-focused explanation of Approved Document J: Combustion appliances and fuel storage systems and which project pages should link to it.,Approved Document J: Combustion appliances and fuel storage systems
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,"Homeowner-focused explanation of Approved Document K: Protection from falling, collision and impact and which project pages should link to it.","Approved Document K: Protection from falling, collision an",False,True,/approved-documents/approved-document-k-falling-collision-impact/,govuk_approved_documents_collection,high,approved-document-k-falling-collision-impact,approved_documents,"Homeowner-focused explanation of Approved Document K: Protection from falling, collision and impact and which project pages should link to it.","Approved Document K: Protection from falling, collision and impact"
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document L: Conservation of fuel and power and which project pages should link to it.,Approved Document L: Conservation of fuel and power,False,True,/approved-documents/approved-document-l-conservation-fuel-power/,govuk_approved_document_l_2026,high,approved-document-l-conservation-fuel-power,approved_documents,Homeowner-focused explanation of Approved Document L: Conservation of fuel and power and which project pages should link to it.,Approved Document L: Conservation of fuel and power
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document M: Access to and use of buildings and which project pages should link to it.,Approved Document M: Access to and use of buildings,False,True,/approved-documents/approved-document-m-access/,govuk_approved_documents_collection,medium,approved-document-m-access,approved_documents,Homeowner-focused explanation of Approved Document M: Access to and use of buildings and which project pages should link to it.,Approved Document M: Access to and use of buildings
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document O: Overheating and which project pages should link to it.,Approved Document O: Overheating,False,True,/approved-documents/approved-document-o-overheating/,govuk_approved_documents_collection,medium,approved-document-o-overheating,approved_documents,Homeowner-focused explanation of Approved Document O: Overheating and which project pages should link to it.,Approved Document O: Overheating
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document P: Electrical safety - dwellings and which project pages should link to it.,Approved Document P: Electrical safety - dwellings,False,True,/approved-documents/approved-document-p-electrical-safety/,govuk_approved_documents_collection,high,approved-document-p-electrical-safety,approved_documents,Homeowner-focused explanation of Approved Document P: Electrical safety - dwellings and which project pages should link to it.,Approved Document P: Electrical safety - dwellings
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document Q: Security - dwellings and which project pages should link to it.,Approved Document Q: Security - dwellings,False,True,/approved-documents/approved-document-q-security/,govuk_approved_documents_collection,low,approved-document-q-security,approved_documents,Homeowner-focused explanation of Approved Document Q: Security - dwellings and which project pages should link to it.,Approved Document Q: Security - dwellings
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document R: Physical infrastructure for high-speed electronic communications networks and which project pages sho,Approved Document R: Physical infrastructure for high-spee,False,True,/approved-documents/approved-document-r-physical-infrastructure/,govuk_approved_documents_collection,low,approved-document-r-physical-infrastructure,approved_documents,Homeowner-focused explanation of Approved Document R: Physical infrastructure for high-speed electronic communications networks and which project pages should link to it.,Approved Document R: Physical infrastructure for high-speed electronic communications networks
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document S: Infrastructure for charging electric vehicles and which project pages should link to it.,Approved Document S: Infrastructure for charging electric ,False,True,/approved-documents/approved-document-s-electric-vehicle-charging/,govuk_approved_documents_collection,medium,approved-document-s-electric-vehicle-charging,approved_documents,Homeowner-focused explanation of Approved Document S: Infrastructure for charging electric vehicles and which project pages should link to it.,Approved Document S: Infrastructure for charging electric vehicles
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Approved Document T: Toilet accommodation and which project pages should link to it.,Approved Document T: Toilet accommodation,False,True,/approved-documents/approved-document-t-toilets/,govuk_approved_documents_collection,low,approved-document-t-toilets,approved_documents,Homeowner-focused explanation of Approved Document T: Toilet accommodation and which project pages should link to it.,Approved Document T: Toilet accommodation
batch_1_seed,https://buildingregsguide.co.uk,approved_document,England-first,Homeowner-focused explanation of Regulation 7: Materials and workmanship and which project pages should link to it.,Regulation 7: Materials and workmanship,False,True,/approved-documents/regulation-7-materials-workmanship/,govuk_approved_documents_collection,medium,regulation-7-materials-workmanship,approved_documents,Homeowner-focused explanation of Regulation 7: Materials and workmanship and which project pages should link to it.,Regulation 7: Materials and workmanship
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,"Chooses likely next route: planning-first, full plans, building notice, competent person, regularisation, or specialist advice.",Building Control Route Checker,False,True,/tools/building-control-route-checker/,govuk_building_regs_approval,high,building-control-route-checker,tool,"Chooses likely next route: planning-first, full plans, building notice, competent person, regularisation, or specialist advice.",Building Control Route Checker
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,"Compares project complexity, certainty needs, start timing and structural risk.",Full Plans vs Building Notice Checker,False,True,/tools/full-plans-vs-building-notice-checker/,govuk_building_regs_approval,high,full-plans-vs-building-notice-checker,tool,"Compares project complexity, certainty needs, start timing and structural risk.",Full Plans vs Building Notice Checker
batch_1_seed,https://buildingregsguide.co.uk,tool,England-first,Checks whether the work type commonly fits registered installer self-certification.,Competent Person Scheme Checker,False,True,/tools/competent-person-scheme-checker/,govuk_building_regs_approval,high,competent-person-scheme-checker,tool,Checks whether the work type commonly fits registered installer self-certification.,Competent Person Scheme Checker
