url,title,primary_h1,intro_angle,primary_cta,secondary_cta,tool_cta,internal_links,source_warning_required
/downloads/building-regs-before-you-start-checklist/,Building regs before-you-start checklist,Building regs before-you-start checklist,A practical printable for all projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/planning-vs-building-regs-one-page-comparison/,Planning permission vs building regulations one-page comparison,Planning permission vs building regulations one-page comparison,A practical printable for all projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/building-control-route-decision-sheet/,Building control route decision sheet,Building control route decision sheet,A practical printable for all projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/homeowner-building-regs-risk-audit/,Homeowner building regs risk audit,Homeowner building regs risk audit,A practical printable for all projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/pre-start-conversation-script-for-builders/,Pre-start conversation script for builders,Pre-start conversation script for builders,A practical printable for all projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/building-control-application-prep-sheet/,Building control application prep sheet,Building control application prep sheet,A practical printable for application routes that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/extension-building-control-prep-pack/,Extension building control prep pack,Extension building control prep pack,A practical printable for extensions that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/single-storey-extension-site-checklist/,Single-storey extension site checklist,Single-storey extension site checklist,A practical printable for single-storey extensions that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/two-storey-extension-risk-checklist/,Two-storey extension risk checklist,Two-storey extension risk checklist,A practical printable for two-storey extensions that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/loft-conversion-fire-and-structure-checklist/,Loft conversion fire and structure checklist,Loft conversion fire and structure checklist,A practical printable for loft conversions that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/garage-conversion-building-regs-pack/,Garage conversion building regs pack,Garage conversion building regs pack,A practical printable for garage conversions that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/load-bearing-wall-removal-evidence-checklist/,Load-bearing wall removal evidence checklist,Load-bearing wall removal evidence checklist,A practical printable for structural alterations that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/chimney-breast-removal-checklist/,Chimney breast removal checklist,Chimney breast removal checklist,A practical printable for chimney breast removal that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/new-bathroom-and-ensuite-regs-checklist/,New bathroom and ensuite regs checklist,New bathroom and ensuite regs checklist,A practical printable for bathrooms that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/kitchen-building-regs-and-ventilation-checklist/,Kitchen building regs and ventilation checklist,Kitchen building regs and ventilation checklist,A practical printable for kitchens that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/windows-and-doors-certificate-checklist/,Windows and doors certificate checklist,Windows and doors certificate checklist,A practical printable for windows and doors that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/rooflight-building-regs-checklist/,Rooflight building regs checklist,Rooflight building regs checklist,A practical printable for rooflights that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/garden-room-building-regs-risk-checklist/,Garden room building regs risk checklist,Garden room building regs risk checklist,A practical printable for garden rooms that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/solar-panel-building-regs-and-roof-checklist/,Solar panel building regs and roof checklist,Solar panel building regs and roof checklist,A practical printable for solar panels that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/heat-pump-installation-paperwork-checklist/,Heat pump installation paperwork checklist,Heat pump installation paperwork checklist,A practical printable for heat pumps that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/completion-certificate-evidence-folder/,Completion certificate evidence folder,Completion certificate evidence folder,A practical printable for all controlled projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/competent-person-certificate-tracker/,Competent person certificate tracker,Competent person certificate tracker,A practical printable for installer self-certification that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/project-photo-evidence-log/,Project photo evidence log,Project photo evidence log,A practical printable for all projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/building-control-contact-log/,Building control contact log,Building control contact log,A practical printable for all projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/builder-document-request-list/,Builder document request list,Builder document request list,A practical printable for all projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/structural-calculation-record-sheet/,Structural calculation record sheet,Structural calculation record sheet,A practical printable for structural projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/energy-and-ventilation-evidence-folder/,Energy and ventilation evidence folder,Energy and ventilation evidence folder,A practical printable for part l and part f projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/regularisation-evidence-gatherer/,Regularisation evidence gatherer,Regularisation evidence gatherer,A practical printable for retrospective work that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/inspection-stage-checklist/,Building control inspection-stage checklist,Building control inspection-stage checklist,A practical printable for all controlled projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/foundation-inspection-prep-sheet/,Foundation inspection prep sheet,Foundation inspection prep sheet,A practical printable for extensions and structural work that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/drainage-inspection-prep-sheet/,Drainage inspection prep sheet,Drainage inspection prep sheet,A practical printable for drainage work that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/insulation-before-cover-up-checklist/,Insulation before-cover-up checklist,Insulation before-cover-up checklist,A practical printable for thermal work that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/fire-safety-before-completion-checklist/,Fire safety before-completion checklist,Fire safety before-completion checklist,"A practical printable for lofts, garages, flats that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.",Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/final-completion-walkthrough/,Final completion walkthrough,Final completion walkthrough,A practical printable for all controlled projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/approved-document-router-printout/,Approved Document router printout,Approved Document router printout,A practical printable for all projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/approved-document-a-structure-homeowner-pack/,Approved Document A structure homeowner pack,Approved Document A structure homeowner pack,A practical printable for structural work that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/approved-document-b-fire-safety-homeowner-pack/,Approved Document B fire safety homeowner pack,Approved Document B fire safety homeowner pack,A practical printable for fire-sensitive projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/approved-document-f-ventilation-homeowner-pack/,Approved Document F ventilation homeowner pack,Approved Document F ventilation homeowner pack,A practical printable for ventilation work that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/approved-document-l-energy-homeowner-pack/,Approved Document L energy homeowner pack,Approved Document L energy homeowner pack,A practical printable for energy-related work that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/approved-document-p-electrical-homeowner-pack/,Approved Document P electrical homeowner pack,Approved Document P electrical homeowner pack,A practical printable for electrical work that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/installer-quote-building-regs-questions/,Installer quote building regs questions,Installer quote building regs questions,A practical printable for getting quotes that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/registered-installer-confirmation-form/,Registered installer confirmation form,Registered installer confirmation form,A practical printable for competent person work that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/electrician-part-p-certificate-request/,Electrician Part P certificate request,Electrician Part P certificate request,A practical printable for electrical work that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/gas-boiler-paperwork-request/,Gas boiler paperwork request,Gas boiler paperwork request,A practical printable for boilers and heating that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/home-sale-building-regs-document-pack/,Home sale building regs document pack,Home sale building regs document pack,A practical printable for selling a home that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/buyer-questions-building-regs-pack/,Buyer questions building regs pack,Buyer questions building regs pack,A practical printable for buying a home that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/landlord-building-regs-record-pack/,Landlord building regs record pack,Landlord building regs record pack,A practical printable for rental property works that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
/downloads/homeowner-handover-file-index/,Homeowner handover file index,Homeowner handover file index,A practical printable for all projects that helps homeowners collect building-regulations evidence before work is hidden or certificates are missed.,Print checklist,Save to my project,Run relevant checker,/tools/building-control-route-checker/ | /tools/approved-document-router/ | /downloads/ | /projects/,yes
